address,Batch,Number of Sides
0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,Batch 1,1
0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,Batch 2,1
0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,Batch 3,1
0x44d19f3da0fcb4b4dd4baaad77ad35e962f6b921,Batch 1,1
0xe7ba7b45a862ebfbe4199393abfe94a8da1e62b2,Batch 1,1
0x6ffbb6c376d0cf590289671d652ae92213614828,Batch 1,1
0x6ffbb6c376d0cf590289671d652ae92213614828,Batch 2,1
0x6ffbb6c376d0cf590289671d652ae92213614828,Batch 3,1
0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,Batch 1,1
0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,Batch 2,1
0x0db19222f6f894be3fdda1dc89fb4bd97becfcf5,Batch 3,1
0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,Batch 1,2
0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,Batch 2,2
0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,Batch 3,1
0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,Batch 1,2
0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,Batch 2,1
0xe66b9c6b6363195e75f806bf5519e578f02114ce,Batch 1,5
0xe66b9c6b6363195e75f806bf5519e578f02114ce,Batch 2,6
0xe66b9c6b6363195e75f806bf5519e578f02114ce,Batch 3,5
0x8807842d0846034b52b3c70bd975ce349ae4b683,Batch 1,1
0xeeb072ecbe68bd123888a60cafd4c8c4fa02c65b,Batch 1,1
0xeeb072ecbe68bd123888a60cafd4c8c4fa02c65b,Batch 3,1
0xadea3af062df0de0c29e67d001d0859cd738bccd,Batch 1,1
0xadea3af062df0de0c29e67d001d0859cd738bccd,Batch 2,1
0x0bda0f33311e65379461d0a555bbd7669c0eaa22,Batch 1,1
0x26de13234f7a7b29b1fbbc27fdeef7c5bf840ace,Batch 1,1
0x26de13234f7a7b29b1fbbc27fdeef7c5bf840ace,Batch 2,1
0x7dfc164f390a051f2483532d1756d80b76ea4aa8,Batch 1,1
0x7dfc164f390a051f2483532d1756d80b76ea4aa8,Batch 2,1
0xfa7c11e9e2d4fcd0f4646515a17289f5892a40b7,Batch 3,3
0x28a173026fa5b1c8efbac54f289cf37280610cc6,Batch 2,1
0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,Batch 2,1
0x6f37b3a5d857ad7388e073ac2f21b313aa554c7a,Batch 3,2
0x0c1c28ada4f896fcd6abe8aa25d1798af869adcc,Batch 2,1
0x0c1c28ada4f896fcd6abe8aa25d1798af869adcc,Batch 3,1
0x358c8b4836006235680367d70d9d148955b24154,Batch 2,1
0x8d580265c37790f4c39ccaf398adefd341b3ca0b,Batch 2,1
0x3f01fa6e75f9d0477108f994400280b71915bf56,Batch 2,1
0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29,Batch 2,1
0xd473781816837c7cd2fadc34e66f09786d2e2694,Batch 2,1
0xd473781816837c7cd2fadc34e66f09786d2e2694,Batch 3,1
0x69ee43fd0b773b10a1dca11cc0c4f748219582dc,Batch 2,1
0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c,Batch 3,1
0xd8b1d41a77f12bb972ead1b4c3503693f1cd0560,Batch 3,1
0xab1d7d0ed74f6c513915f4368b734bb3c456c958,Batch 3,2
0x5a56e9ab6303794224ff8ab1c14bf2a5c26505bc,Batch 3,1
0x3327073bf46a6f38a23b83954d5a85b047585fde,Batch 3,1
